Object id,Date,Class name,Genet id,Centroid x,Centroid y,Area,Surf area,Perimeter,Note
0,2013-01-01,Porite_massive,0,3.6,3.0,1.04,0.0,4.5,
1,2013-01-01,Pocillopora,1,373.2,15.7,29.52,0.0,25.4,
2,2013-01-01,Pocillopora,2,1726.6,3.0,2.91,0.0,8.3,
3,2013-01-01,Porite_massive,3,2191.9,12.1,36.06,0.0,34.1,
4,2013-01-01,Pocillopora,4,2557.6,9.7,24.47,0.0,25.0,
5,2013-01-01,Pocillopora,5,2589.1,146.5,198.21,0.0,66.3,
6,2013-01-01,Pocillopora,6,2882.8,131.3,35.37,0.0,24.6,
7,2013-01-01,Pocillopora,7,1958.3,226.2,15.85,0.0,19.6,
8,2013-01-01,Pocillopora,8,2686.0,262.4,136.75,0.0,52.1,
9,2013-01-01,Pocillopora,9,336.0,282.2,66.0,0.0,34.9,
10,2013-01-01,Porite_massive,10,185.4,429.4,458.41,0.0,107.8,
11,2013-01-01,Pocillopora,11,312.9,363.7,142.11,0.0,60.3,
12,2013-01-01,Pocillopora,12,982.7,352.5,20.27,0.0,28.4,
13,2013-01-01,Porite_massive,13,881.1,468.1,343.72,0.0,137.7,
14,2013-01-01,Pocillopora,14,2859.5,429.7,13.3,0.0,16.4,
15,2013-01-01,Porite_massive,15,738.1,726.6,1269.99,0.0,342.9,
16,2013-01-01,Pocillopora,16,2994.2,633.2,5.43,0.0,12.7,
17,2013-01-01,Pocillopora,17,2138.7,730.5,14.03,0.0,16.0,
18,2013-01-01,Pocillopora,18,935.3,814.3,345.28,0.0,99.2,
19,2013-01-01,Pocillopora,19,530.4,823.4,30.69,0.0,23.9,
20,2013-01-01,Pocillopora,20,1974.0,838.6,25.0,0.0,26.0,
21,2013-01-01,Pocillopora,21,1978.4,895.7,126.67,0.0,62.6,
22,2013-01-01,Pocillopora,22,1727.3,1078.9,184.38,0.0,57.3,
23,2013-01-01,Pocillopora,23,2820.5,1156.4,119.19,0.0,49.9,
24,2013-01-01,Porite_massive,24,2077.5,1185.1,52.64,0.0,33.4,
25,2013-01-01,Pocillopora,25,2252.8,1213.9,54.05,0.0,34.5,
26,2013-01-01,Pocillopora,26,1463.8,1352.1,274.8,0.0,93.4,
27,2013-01-01,Pocillopora,27,2614.5,1365.7,94.01,0.0,43.8,
28,2013-01-01,Pocillopora,28,2556.4,1436.7,35.78,0.0,25.8,
29,2013-01-01,Porite_massive,29,451.9,1673.9,1115.98,0.0,311.6,
30,2013-01-01,Pocillopora,30,2621.6,1591.3,48.28,0.0,32.6,
31,2013-01-01,Pocillopora,31,330.6,1681.4,30.33,0.0,25.0,
32,2013-01-01,Pocillopora,32,537.0,1737.7,195.81,0.0,64.0,
33,2013-01-01,Pocillopora,33,896.6,1712.4,63.46,0.0,34.8,
34,2013-01-01,Pocillopora,34,2629.2,1876.6,35.37,0.0,25.3,
35,2013-01-01,Pocillopora,35,2567.6,1890.0,42.3,0.0,27.3,
36,2013-01-01,Pocillopora,36,1100.4,1992.4,328.16,0.0,85.6,
37,2013-01-01,Pocillopora,37,497.3,2038.0,305.36,0.0,72.9,
38,2013-01-01,Porite_massive,38,2170.2,2069.3,310.19,0.0,94.7,
39,2013-01-01,Pocillopora,39,1617.9,2040.5,102.02,0.0,44.6,
40,2013-01-01,Pocillopora,40,358.5,2215.0,94.24,0.0,42.2,
41,2013-01-01,Pocillopora,41,271.1,2359.1,121.34,0.0,53.7,
42,2013-01-01,Pocillopora,42,1356.5,2402.9,87.28,0.0,52.0,
43,2013-01-01,Porite_massive,43,2803.2,2516.9,456.43,0.0,93.2,
44,2013-01-01,Pocillopora,44,1802.6,2485.4,94.6,0.0,45.2,
45,2013-01-01,Pocillopora,45,765.6,2518.8,27.42,0.0,26.8,
46,2013-01-01,Porite_massive,46,1388.8,2744.6,2524.24,0.0,697.1,
47,2013-01-01,Porite_massive,47,2976.9,2623.4,55.84,0.0,36.6,
48,2013-01-01,Pocillopora,48,531.8,2688.8,27.52,0.0,22.7,
49,2013-01-01,Pocillopora,49,2082.2,2780.3,62.23,0.0,37.4,
50,2013-01-01,Pocillopora,50,2042.9,2948.4,106.33,0.0,57.0,
51,2013-01-01,Pocillopora,51,1106.4,2963.4,36.37,0.0,24.9,
52,2013-01-01,Pocillopora,52,344.2,2975.6,76.84,0.0,44.7,
