genet,2013 Object id,2013 Area,2014 Object id,2014 Area
0,0 ,1.04 ,0 ,98.35 
1,1 ,29.52 ,1 ,21.52 
2,2 ,2.91 ,2 ,7.69 
3,3 ,36.06 ,,
4,4 ,24.47 ,4 ,30.76 
5,5 ,198.21 ,5 ,150.79 
6,6 ,35.37 ,6 ,70.5 
7,7 ,15.85 ,,
8,8 ,136.75 ,7 ,208.52 
9,9 ,66.0 ,8 ,29.91 
10,10 ,458.41 ,9 ,298.19 
11,11 ,142.11 ,10 ,172.66 
12,12 ,20.27 ,,
13,13 ,343.72 ,,
14,14 ,13.3 ,11 ,30.19 
15,15 ,1269.99 ,13 ,1649.96 
16,16 ,5.43 ,,
17,17 ,14.03 ,15 ,29.02 
18,18 ,345.28 ,16 18 ,150.26 96.66 
19,19 ,30.69 ,17 ,71.64 
20,20 ,25.0 ,,
21,21 ,126.67 ,21 ,189.13 
22,22 ,184.38 ,22 ,83.61 
23,23 ,119.19 ,,
24,24 ,52.64 ,,
25,25 ,54.05 ,24 ,68.83 
26,26 ,274.8 ,25 27 ,9.46 4.71 
27,27 ,94.01 ,26 ,140.8 
28,28 ,35.78 ,,
29,29 ,1115.98 ,28 33 ,1085.72 117.39 
30,30 ,48.28 ,31 ,52.15 
31,31 ,30.33 ,,
32,32 ,195.81 ,,
33,33 ,63.46 ,,
34,34 ,35.37 ,34 ,39.0 
35,35 ,42.3 ,,
36,36 ,328.16 ,36 ,278.6 
37,37 ,305.36 ,37 ,194.67 
38,38 ,310.19 ,38 ,278.4 
39,39 ,102.02 ,39 ,124.52 
40,40 ,94.24 ,40 ,119.11 
41,41 ,121.34 ,41 ,23.43 
42,42 ,87.28 ,42 ,28.32 
43,43 ,456.43 ,43 ,676.15 
44,44 ,94.6 ,45 ,108.87 
45,45 ,27.42 ,48 ,33.68 
46,46 ,2524.24 ,46 50 ,2787.49 12.19 
47,47 ,55.84 ,51 ,53.76 
48,48 ,27.52 ,53 54 ,0.96 0.89 
49,49 ,62.23 ,,
50,50 ,106.33 ,55 ,144.08 
51,51 ,36.37 ,,
52,52 ,76.84 ,57 58 ,6.0 8.58 
56,,,3 ,1.3 
65,,,12 ,55.45 
67,,,14 ,17.88 
72,,,19 ,35.47 
73,,,20 ,1.01 
76,,,23 ,186.09 
82,,,29 ,81.2 
83,,,30 ,20.43 
85,,,32 ,160.37 
88,,,35 ,63.9 
97,,,44 ,31.07 
100,,,47 ,21.44 
102,,,49 ,15.1 
105,,,52 ,17.91 
109,,,56 ,12.83 
